stage_name,member_name,filename,relative_path,dtype,numel,shape,source_key,note
pvss_ds_weight_enc0_mag,ssm_dw_conv2d_b_i32,ssm_dw_conv2d_b_i32.bin,pvss_ds_weight_enc0_mag/ssm_dw_conv2d_b_i32.bin,int32,2,2,layers_encoder_mag.0.blocks.0.ss2d.conv2d.bias,round(bias_f32 / dequant_scale)
pvss_ds_weight_enc0_mag,ssm_dw_conv1d_w,ssm_dw_conv1d_w.bin,pvss_ds_weight_enc0_mag/ssm_dw_conv1d_w.bin,float32,24,12x2,layers_encoder_mag.0.blocks.0.ss2d.x_proj_conv.weight,
pvss_ds_weight_enc0_mag,ssm_dt_projection_w,ssm_dt_projection_w.bin,pvss_ds_weight_enc0_mag/ssm_dt_projection_w.bin,float32,8,8x1,layers_encoder_mag.0.blocks.0.ss2d.dt_proj_conv.weight,
pvss_ds_weight_enc0_mag,ssm_A,ssm_A.bin,pvss_ds_weight_enc0_mag/ssm_A.bin,float32,8,8x1,layers_encoder_mag.0.blocks.0.ss2d.A_logs,A = -exp(A_logs)
pvss_ds_weight_enc0_mag,ssm_Ds,ssm_Ds.bin,pvss_ds_weight_enc0_mag/ssm_Ds.bin,float32,8,8,layers_encoder_mag.0.blocks.0.ss2d.Ds,
pvss_ds_weight_enc0_mag,ssm_delta_bias,ssm_delta_bias.bin,pvss_ds_weight_enc0_mag/ssm_delta_bias.bin,float32,8,8,layers_encoder_mag.0.blocks.0.ss2d.dt_projs_bias,
pvss_ds_weight_enc0_mag,ssm_out_norm_w,ssm_out_norm_w.bin,pvss_ds_weight_enc0_mag/ssm_out_norm_w.bin,float32,2,2,layers_encoder_mag.0.blocks.0.ss2d.out_norm.weight,
pvss_ds_weight_enc0_mag,ssm_out_norm_b,ssm_out_norm_b.bin,pvss_ds_weight_enc0_mag/ssm_out_norm_b.bin,float32,2,2,layers_encoder_mag.0.blocks.0.ss2d.out_norm.bias,
pvss_ds_weight_enc0_mag,ssm_out_projection_w,ssm_out_projection_w.bin,pvss_ds_weight_enc0_mag/ssm_out_projection_w.bin,int8,2,1x2,layers_encoder_mag.0.blocks.0.ss2d.out_proj.weight_int8,"act scale folded, requantized per OC"
pvss_ds_weight_enc0_mag,ssm_out_projection_w_quant_scale,ssm_out_projection_w_quant_scale.bin,pvss_ds_weight_enc0_mag/ssm_out_projection_w_quant_scale.bin,float32,2,2,layers_encoder_mag.0.blocks.0.ss2d.out_proj.a_scale,sq_s*a_scale*a_scale_mul
pvss_ds_weight_enc0_mag,ssm_out_projection_w_dequant_scale,ssm_out_projection_w_dequant_scale.bin,pvss_ds_weight_enc0_mag/ssm_out_projection_w_dequant_scale.bin,float32,1,1,layers_encoder_mag.0.blocks.0.ss2d.out_proj.w_scale,per-OC; int32 acc -> f32
pvss_ds_weight_enc0_mag,mlp_norm_w,mlp_norm_w.bin,pvss_ds_weight_enc0_mag/mlp_norm_w.bin,float32,16,16,layers_encoder_mag.0.blocks.0.norm2.weight,
pvss_ds_weight_enc0_mag,mlp_norm_b,mlp_norm_b.bin,pvss_ds_weight_enc0_mag/mlp_norm_b.bin,float32,16,16,layers_encoder_mag.0.blocks.0.norm2.bias,
pvss_ds_weight_enc0_mag,mlp_fc1_w,mlp_fc1_w.bin,pvss_ds_weight_enc0_mag/mlp_fc1_w.bin,int8,256,16x16,layers_encoder_mag.0.blocks.0.mlp.fc1.weight_int8,"act scale folded, requantized per OC"
pvss_ds_weight_enc0_mag,mlp_fc1_w_quant_scale,mlp_fc1_w_quant_scale.bin,pvss_ds_weight_enc0_mag/mlp_fc1_w_quant_scale.bin,float32,16,16,layers_encoder_mag.0.blocks.0.mlp.fc1.a_scale,sq_s*a_scale*a_scale_mul
pvss_ds_weight_enc0_mag,mlp_fc1_w_dequant_scale,mlp_fc1_w_dequant_scale.bin,pvss_ds_weight_enc0_mag/mlp_fc1_w_dequant_scale.bin,float32,16,16,layers_encoder_mag.0.blocks.0.mlp.fc1.w_scale,per-OC; int32 acc -> f32
pvss_ds_weight_enc0_mag,mlp_fc1_b_i32,mlp_fc1_b_i32.bin,pvss_ds_weight_enc0_mag/mlp_fc1_b_i32.bin,int32,16,16,layers_encoder_mag.0.blocks.0.mlp.fc1.bias,round(bias_f32 / dequant_scale)
pvss_ds_weight_enc0_mag,mlp_fc2_w,mlp_fc2_w.bin,pvss_ds_weight_enc0_mag/mlp_fc2_w.bin,int8,512,32x16,layers_encoder_mag.0.blocks.0.mlp.fc2.mlp_dim_redu.weight_int8,"act scale folded, requantized per OC"
pvss_ds_weight_enc0_mag,mlp_fc2_w_quant_scale,mlp_fc2_w_quant_scale.bin,pvss_ds_weight_enc0_mag/mlp_fc2_w_quant_scale.bin,float32,16,16,layers_encoder_mag.0.blocks.0.mlp.fc2.mlp_dim_redu.a_scale,sq_s*a_scale*a_scale_mul
pvss_ds_weight_enc0_mag,mlp_fc2_w_dequant_scale,mlp_fc2_w_dequant_scale.bin,pvss_ds_weight_enc0_mag/mlp_fc2_w_dequant_scale.bin,float32,32,32,layers_encoder_mag.0.blocks.0.mlp.fc2.mlp_dim_redu.w_scale,per-OC; int32 acc -> f32
pvss_ds_weight_enc0_mag,mlp_fc_res_w,mlp_fc_res_w.bin,pvss_ds_weight_enc0_mag/mlp_fc_res_w.bin,float32,512,32x16,layers_encoder_mag.0.blocks.0.skip_proj.skip_dim_redu.weight,f32 in ckpt (skip_proj excluded from PTQ)
pvss_ds_weight_enc0_mag,mlp_fc_res_b,mlp_fc_res_b.bin,pvss_ds_weight_enc0_mag/mlp_fc_res_b.bin,float32,32,32,<generated>,zero bias placeholder
pvss_ds_weight_enc0_mag,mlp_sumpool_w,mlp_sumpool_w.bin,pvss_ds_weight_enc0_mag/mlp_sumpool_w.bin,float32,64,16x2x2,layers_encoder_mag.0.blocks.0.mlp.fc2.mlp_sumpool.weight,
pvss_ds_weight_enc0_mag,mlp_dim_reduce_w,mlp_dim_reduce_w.bin,pvss_ds_weight_enc0_mag/mlp_dim_reduce_w.bin,float32,1,1,<unused>,unused optional field
pvss_ds_weight_enc0_mag,skip_reduce_w,skip_reduce_w.bin,pvss_ds_weight_enc0_mag/skip_reduce_w.bin,float32,1,1,<unused>,unused optional field
pvss_ds_weight_enc0_pha,ssm_in_norm_w,ssm_in_norm_w.bin,pvss_ds_weight_enc0_pha/ssm_in_norm_w.bin,float32,16,16,layers_encoder_phase.0.blocks.0.norm.weight,
pvss_ds_weight_enc0_pha,ssm_in_norm_b,ssm_in_norm_b.bin,pvss_ds_weight_enc0_pha/ssm_in_norm_b.bin,float32,16,16,layers_encoder_phase.0.blocks.0.norm.bias,
pvss_ds_weight_enc0_pha,ssm_in_projection_w,ssm_in_projection_w.bin,pvss_ds_weight_enc0_pha/ssm_in_projection_w.bin,int8,4,4x1,layers_encoder_phase.0.blocks.0.ss2d.in_proj.weight_int8,as stored (no refold)
pvss_ds_weight_enc0_pha,ssm_in_projection_w_quant_scale,ssm_in_projection_w_quant_scale.bin,pvss_ds_weight_enc0_pha/ssm_in_projection_w_quant_scale.bin,float32,1,1,layers_encoder_phase.0.blocks.0.ss2d.in_proj.a_scale,per-tensor a_scale*a_scale_mul
pvss_ds_weight_enc0_pha,ssm_in_projection_w_dequant_scale,ssm_in_projection_w_dequant_scale.bin,pvss_ds_weight_enc0_pha/ssm_in_projection_w_dequant_scale.bin,float32,4,4,layers_encoder_phase.0.blocks.0.ss2d.in_proj.w_scale,per-OC; int32 acc -> f32
pvss_ds_weight_enc0_pha,ssm_dw_conv2d_w,ssm_dw_conv2d_w.bin,pvss_ds_weight_enc0_pha/ssm_dw_conv2d_w.bin,int8,18,2x3x3,layers_encoder_phase.0.blocks.0.ss2d.conv2d.weight_int8,as stored (no refold)
pvss_ds_weight_enc0_pha,ssm_dw_conv2d_w_quant_scale,ssm_dw_conv2d_w_quant_scale.bin,pvss_ds_weight_enc0_pha/ssm_dw_conv2d_w_quant_scale.bin,float32,2,2,layers_encoder_phase.0.blocks.0.ss2d.conv2d.a_scale,sq_s*a_scale*a_scale_mul
pvss_ds_weight_enc0_pha,ssm_dw_conv2d_w_dequant_scale,ssm_dw_conv2d_w_dequant_scale.bin,pvss_ds_weight_enc0_pha/ssm_dw_conv2d_w_dequant_scale.bin,float32,2,2,layers_encoder_phase.0.blocks.0.ss2d.conv2d.w_scale,per-OC; int32 acc -> f32
pvss_ds_weight_enc0_pha,ssm_dw_conv2d_b_i32,ssm_dw_conv2d_b_i32.bin,pvss_ds_weight_enc0_pha/ssm_dw_conv2d_b_i32.bin,int32,2,2,layers_encoder_phase.0.blocks.0.ss2d.conv2d.bias,round(bias_f32 / dequant_scale)
pvss_ds_weight_enc0_pha,ssm_dw_conv1d_w,ssm_dw_conv1d_w.bin,pvss_ds_weight_enc0_pha/ssm_dw_conv1d_w.bin,float32,24,12x2,layers_encoder_phase.0.blocks.0.ss2d.x_proj_conv.weight,
pvss_ds_weight_enc0_pha,ssm_dt_projection_w,ssm_dt_projection_w.bin,pvss_ds_weight_enc0_pha/ssm_dt_projection_w.bin,float32,8,8x1,layers_encoder_phase.0.blocks.0.ss2d.dt_proj_conv.weight,
pvss_ds_weight_enc0_pha,ssm_A,ssm_A.bin,pvss_ds_weight_enc0_pha/ssm_A.bin,float32,8,8x1,layers_encoder_phase.0.blocks.0.ss2d.A_logs,A = -exp(A_logs)
pvss_ds_weight_enc0_pha,ssm_Ds,ssm_Ds.bin,pvss_ds_weight_enc0_pha/ssm_Ds.bin,float32,8,8,layers_encoder_phase.0.blocks.0.ss2d.Ds,
pvss_ds_weight_enc0_pha,ssm_delta_bias,ssm_delta_bias.bin,pvss_ds_weight_enc0_pha/ssm_delta_bias.bin,float32,8,8,layers_encoder_phase.0.blocks.0.ss2d.dt_projs_bias,
pvss_ds_weight_enc0_pha,ssm_out_norm_w,ssm_out_norm_w.bin,pvss_ds_weight_enc0_pha/ssm_out_norm_w.bin,float32,2,2,layers_encoder_phase.0.blocks.0.ss2d.out_norm.weight,
pvss_ds_weight_enc0_pha,ssm_out_norm_b,ssm_out_norm_b.bin,pvss_ds_weight_enc0_pha/ssm_out_norm_b.bin,float32,2,2,layers_encoder_phase.0.blocks.0.ss2d.out_norm.bias,
pvss_ds_weight_enc0_pha,ssm_out_projection_w,ssm_out_projection_w.bin,pvss_ds_weight_enc0_pha/ssm_out_projection_w.bin,int8,2,1x2,layers_encoder_phase.0.blocks.0.ss2d.out_proj.weight_int8,"act scale folded, requantized per OC"
pvss_ds_weight_enc0_pha,ssm_out_projection_w_quant_scale,ssm_out_projection_w_quant_scale.bin,pvss_ds_weight_enc0_pha/ssm_out_projection_w_quant_scale.bin,float32,2,2,layers_encoder_phase.0.blocks.0.ss2d.out_proj.a_scale,sq_s*a_scale*a_scale_mul
pvss_ds_weight_enc0_pha,ssm_out_projection_w_dequant_scale,ssm_out_projection_w_dequant_scale.bin,pvss_ds_weight_enc0_pha/ssm_out_projection_w_dequant_scale.bin,float32,1,1,layers_encoder_phase.0.blocks.0.ss2d.out_proj.w_scale,per-OC; int32 acc -> f32
pvss_ds_weight_enc0_pha,mlp_norm_w,mlp_norm_w.bin,pvss_ds_weight_enc0_pha/mlp_norm_w.bin,float32,16,16,layers_encoder_phase.0.blocks.0.norm2.weight,
pvss_ds_weight_enc0_pha,mlp_norm_b,mlp_norm_b.bin,pvss_ds_weight_enc0_pha/mlp_norm_b.bin,float32,16,16,layers_encoder_phase.0.blocks.0.norm2.bias,
pvss_ds_weight_enc0_pha,mlp_fc1_w,mlp_fc1_w.bin,pvss_ds_weight_enc0_pha/mlp_fc1_w.bin,int8,256,16x16,layers_encoder_phase.0.blocks.0.mlp.fc1.weight_int8,"act scale folded, requantized per OC"
pvss_ds_weight_enc0_pha,mlp_fc1_w_quant_scale,mlp_fc1_w_quant_scale.bin,pvss_ds_weight_enc0_pha/mlp_fc1_w_quant_scale.bin,float32,16,16,layers_encoder_phase.0.blocks.0.mlp.fc1.a_scale,sq_s*a_scale*a_scale_mul
pvss_ds_weight_enc0_pha,mlp_fc1_w_dequant_scale,mlp_fc1_w_dequant_scale.bin,pvss_ds_weight_enc0_pha/mlp_fc1_w_dequant_scale.bin,float32,16,16,layers_encoder_phase.0.blocks.0.mlp.fc1.w_scale,per-OC; int32 acc -> f32
